stock_id,name,sector,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,label,rsi,ret_20d,cv_sharpe,cv_win_rate,bias_ma5,bias_ma10,bias_ma20,ma_bull,mom5,mom20,vol20,dist_high60,sector_ret20,sector_strong,chip_dir,taiex_bull,taiex_bias
2345,智邦,光通訊,20230526,20230529,357.5,20230901,470.0,MA10,66,31.47,1,81.0,12.5,0.0,0.0,10.2816,10.563,10.8837,0.0,11.6838,12.4567,3.0021,0.0,3.7,1.0,0.0,1.0,4.9
4966,譜瑞-KY,IC設計,20230526,20230529,1055.0,20230720,895.0,SL,36,-15.17,0,59.7,2.4,0.0,0.0,0.8166,1.9911,1.6037,0.0,2.4468,2.4468,1.5638,-15.1542,2.87,0.0,,1.0,4.9
3535,晶彩科,CoPoS封裝,20230529,20230530,20.65,20231020,17.35,SL,97,-15.98,0,59.5,-3.6,-6.24,0.17,0.5976,1.482,0.811,0.0,0.4975,-3.58,1.2663,-15.6576,9.58,1.0,,1.0,5.6
2317,鴻海,AI伺服器,20230530,20230531,106.5,,,OPEN,,,,81.7,0.9,2.47,0.33,2.7858,3.4316,2.9094,1.0,4.3902,0.9434,1.0785,0.0,18.5,1.0,0.0,1.0,5.4
2455,全新,光通訊,20230530,20230531,104.5,20230626,123.0,MA10,16,17.7,1,56.7,2.0,-7.73,0.08,0.3269,1.5197,1.6826,1.0,2.3983,1.973,2.1294,-1.8,3.21,1.0,0.0,1.0,5.4
6789,采鈺,CoPoS封裝,20230530,20230531,228.5,20230626,261.5,MA10,16,14.44,1,77.7,3.4,0.0,0.0,4.961,6.5268,6.8756,0.0,8.8095,3.3937,2.1098,-8.7824,10.11,1.0,,1.0,5.4
8086,宏捷科,光通訊,20230530,20230531,82.9,20230717,96.6,MA10,31,16.53,1,56.8,-3.9,-8.36,0.22,0.0741,1.3387,1.5738,0.0,0.0,-3.9146,1.6432,-13.9214,3.21,1.0,0.0,1.0,5.4
2345,智邦,光通訊,20230531,20230601,342.0,20230726,394.5,MA10,37,15.35,1,82.9,19.7,0.0,0.0,4.7478,12.9419,16.994,0.0,24.735,19.661,3.6175,-1.2587,6.57,1.0,0.0,1.0,5.02
3535,晶彩科,CoPoS封裝,20230531,20230601,20.25,,,OPEN,,,,66.3,-1.2,-9.98,0.0,1.5316,2.2388,2.7115,0.0,1.9851,-1.2019,1.3622,-13.8365,10.48,1.0,,1.0,5.02
4919,新唐,IC設計,20230531,20230601,127.0,20231207,142.0,MA10,129,11.81,1,59.1,-3.4,0.0,0.0,0.86,1.5748,1.5348,0.0,3.6145,-3.3708,2.2135,-19.1223,4.24,1.0,,1.0,5.02
